localisation,name,prix,image_link-src
Point E,Yamaha Tmax DX,3.500.000  FCFA,media/annonces/pics/f76dee3759a5d9cc0ca373c346dc7091.jpg
Plateau,Scooter beverly,580.000  FCFA,media/annonces/pics/7de9e87668579135066bf91fd31d43b0.jpg
Parcelles assainies,Kymco agility 125,200.000  FCFA,media/annonces/pics/6ec12b987f5a1598ecfbeacab9aecba2.png
Dakar,Yamaha majesty 150,290.000  FCFA,media/annonces/pics/0d84bd7d2478aee270e5a02506351077.png
Hann Maristes,Bmw gs1200,3.100.000  FCFA,media/annonces/pics/fda291222122abcdd51b957d4bf16bb4.jpg
Nord Foire,Yamaha fz1,1.800.000  FCFA,media/annonces/pics/26d0d27d95308990411012bba3f8d1ab.jpg
Dakar,Yamaha tmax 530,1.900.000  FCFA,media/annonces/pics/c8b25c713f7bae3e46003297cf26302f.jpg
Parcelles assainies,Majesty Skyliner 125,300.000  FCFA,media/annonces/pics/545adf3f35d33d46bbee4d9df9cf717d.jpeg
Dakar,Majesty 250,"",media/annonces/pics/2bcb6acd967dd80a5ac28197c0a1b9ed.jpg
Hann Maristes,Yamaha yz85 / yz450,2.400.000  FCFA,media/annonces/pics/4297f0b2c16b681318e2c764e58573c6.jpg
Plateau,ktm sx 85,"",media/annonces/pics/9f7a7dbf7daa1022154006f1475857ea.jpg
Almadies,Yamaha yz 125,800.000  FCFA,media/annonces/pics/7fb3c94dc10dcbc0f4303df31c2b69cd.jpg
Parcelles assainies,Sh,390.000  FCFA,media/annonces/pics/5814d7f88b032b373437d14510a5ea6d.jpg
Médina,Moto bmw gs1200,3.500.000  FCFA,media/annonces/pics/95e2ea514841f6833ccecc33ba1d0386.jpg
Dakar,Mbk booster,195.000  FCFA,media/annonces/pics/aa15d3d988c8197b7ab9f081aee090ff.jpg
Fass,Moto goccla venant d’Italie moteur 50 très puissant et tt les papiers en règle,180  FCFA,media/annonces/pics/a7110c1a2ef0af7fbf014d3df69e21d1.jpeg
Mbour,Yamaha 250 tt,1.600.000  FCFA,media/annonces/pics/09ca6437edae43b5afed88af1ca5284d.jpg
Dakar,Tmax 500,1.200.000  FCFA,media/annonces/pics/e2884a4c0511fbd1a6f8b3f4f91846b7.jpg
Almadies,Yamaha yz 125,800.000  FCFA,media/annonces/pics/e7f5748532725c23b97790132c3df555.jpg
Dakar,Tmax 530,2.800.000  FCFA,media/annonces/pics/37104617c005b47ebe834c653f7b463a.jpg
Plateau,Kawasaki kx85,800.000  FCFA,media/annonces/pics/0a11a74b5f7ae0000b07be7ad6863474.jpg
Almadies,Vente de moto/ jetski à Dakar venant des USA,1  FCFA,media/annonces/pics/fe3c4f256f19c7696974a348f5c70e90.jpg
Saly,Quad polaris 500,3.560.000  FCFA,media/annonces/pics/29223fe3220eca908eb28d97ae17b9da.jpg
Keur Massar,moto majesty 150,200.000  FCFA,""
Point E,Piaggio NRG DD kit 70,350.000  FCFA,""
Dakar,Ducati hypermotard evo sp 2011,1.350.000  FCFA,""
Mamelles,Vend Moto Kawasaki eliminator 125,700.000  FCFA,""
Mamelles,Vend Moto BMW GS800,2.200.000  FCFA,media/annonces/pics/6b1b47b095f5231e65c47cdb3b06189f.jpg
Dakar,Beverly 300,630.000  FCFA,media/annonces/pics/475d96608b0239c61d31bc670235a46c.jpg
